filepaths,labels
data/class_0/1.jpg,class_0
data/class_0/10.jpg,class_0
data/class_0/100.jpg,class_0
data/class_0/101.jpg,class_0
data/class_0/102.jpg,class_0
data/class_0/103.jpg,class_0
data/class_0/104.jpg,class_0
data/class_0/105.jpg,class_0
data/class_0/106.jpg,class_0
data/class_0/107.jpg,class_0
data/class_0/108.jpg,class_0
data/class_0/109.jpg,class_0
data/class_0/11.jpg,class_0
data/class_0/110.jpg,class_0
data/class_0/111.jpg,class_0
data/class_0/112.jpg,class_0
data/class_0/113.jpg,class_0
data/class_0/114.jpg,class_0
data/class_0/115.jpg,class_0
data/class_0/116.jpg,class_0
data/class_0/117.jpg,class_0
data/class_0/118.jpg,class_0
data/class_0/119.jpg,class_0
data/class_0/12.jpg,class_0
data/class_0/120.jpg,class_0
data/class_0/121.jpg,class_0
data/class_0/122.jpg,class_0
data/class_0/123.jpg,class_0
data/class_0/124.jpg,class_0
data/class_0/125.jpg,class_0
data/class_0/126.jpg,class_0
data/class_0/127.jpg,class_0
data/class_0/128.jpg,class_0
data/class_0/129.jpg,class_0
data/class_0/13.jpg,class_0
data/class_0/130.jpg,class_0
data/class_0/131.jpg,class_0
data/class_0/132.jpg,class_0
data/class_0/133.jpg,class_0
data/class_0/134.jpg,class_0
data/class_0/135.jpg,class_0
data/class_0/136.jpg,class_0
data/class_0/137.jpg,class_0
data/class_0/138.jpg,class_0
data/class_0/139.jpg,class_0
data/class_0/14.jpg,class_0
data/class_0/140.jpg,class_0
data/class_0/141.jpg,class_0
data/class_0/142.jpg,class_0
data/class_0/143.jpg,class_0
data/class_0/144.jpg,class_0
data/class_0/145.jpg,class_0
data/class_0/146.jpg,class_0
data/class_0/147.jpg,class_0
data/class_0/148.jpg,class_0
data/class_0/149.jpg,class_0
data/class_0/15.jpg,class_0
data/class_0/150.jpg,class_0
data/class_0/151.jpg,class_0
data/class_0/152.jpg,class_0
data/class_0/153.jpg,class_0
data/class_0/154.jpg,class_0
data/class_0/155.jpg,class_0
data/class_0/156.jpg,class_0
data/class_0/157.jpg,class_0
data/class_0/158.jpg,class_0
data/class_0/159.jpg,class_0
data/class_0/16.jpg,class_0
data/class_0/160.jpg,class_0
data/class_0/161.jpg,class_0
data/class_0/162.jpg,class_0
data/class_0/163.jpg,class_0
data/class_0/164.jpg,class_0
data/class_0/165.jpg,class_0
data/class_0/166.jpg,class_0
data/class_0/167.jpg,class_0
data/class_0/168.jpg,class_0
data/class_0/169.jpg,class_0
data/class_0/17.jpg,class_0
data/class_0/170.jpg,class_0
data/class_0/171.jpg,class_0
data/class_0/172.jpg,class_0
data/class_0/173.jpg,class_0
data/class_0/174.jpg,class_0
data/class_0/175.jpg,class_0
data/class_0/176.jpg,class_0
data/class_0/177.jpg,class_0
data/class_0/178.jpg,class_0
data/class_0/179.jpg,class_0
data/class_0/18.jpg,class_0
data/class_0/180.jpg,class_0
data/class_0/181.jpg,class_0
data/class_0/182.jpg,class_0
data/class_0/183.jpg,class_0
data/class_0/184.jpg,class_0
data/class_0/185.jpg,class_0
data/class_0/186.jpg,class_0
data/class_0/187.jpg,class_0
data/class_0/188.jpg,class_0
data/class_0/189.jpg,class_0
data/class_0/19.jpg,class_0
data/class_0/190.jpg,class_0
data/class_0/191.jpg,class_0
data/class_0/192.jpg,class_0
data/class_0/193.jpg,class_0
data/class_0/194.jpg,class_0
data/class_0/195.jpg,class_0
data/class_0/196.jpg,class_0
data/class_0/197.jpg,class_0
data/class_0/198.jpg,class_0
data/class_0/199.jpg,class_0
data/class_0/2.jpg,class_0
data/class_0/20.jpg,class_0
data/class_0/200.jpg,class_0
data/class_0/21.jpg,class_0
data/class_0/22.jpg,class_0
data/class_0/23.jpg,class_0
data/class_0/24.jpg,class_0
data/class_0/25.jpg,class_0
data/class_0/26.jpg,class_0
data/class_0/27.jpg,class_0
data/class_0/28.jpg,class_0
data/class_0/29.jpg,class_0
data/class_0/3.jpg,class_0
data/class_0/30.jpg,class_0
data/class_0/31.jpg,class_0
data/class_0/32.jpg,class_0
data/class_0/33.jpg,class_0
data/class_0/34.jpg,class_0
data/class_0/35.jpg,class_0
data/class_0/36.jpg,class_0
data/class_0/37.jpg,class_0
data/class_0/38.jpg,class_0
data/class_0/39.jpg,class_0
data/class_0/4.jpg,class_0
data/class_0/40.jpg,class_0
data/class_0/41.jpg,class_0
data/class_0/42.jpg,class_0
data/class_0/43.jpg,class_0
data/class_0/44.jpg,class_0
data/class_0/45.jpg,class_0
data/class_0/46.jpg,class_0
data/class_0/47.jpg,class_0
data/class_0/48.jpg,class_0
data/class_0/49.jpg,class_0
data/class_0/5.jpg,class_0
data/class_0/50.jpg,class_0
data/class_0/51.jpg,class_0
data/class_0/52.jpg,class_0
data/class_0/53.jpg,class_0
data/class_0/54.jpg,class_0
data/class_0/55.jpg,class_0
data/class_0/56.jpg,class_0
data/class_0/57.jpg,class_0
data/class_0/58.jpg,class_0
data/class_0/59.jpg,class_0
data/class_0/6.jpg,class_0
data/class_0/60.jpg,class_0
data/class_0/61.jpg,class_0
data/class_0/62.jpg,class_0
data/class_0/63.jpg,class_0
data/class_0/64.jpg,class_0
data/class_0/65.jpg,class_0
data/class_0/66.jpg,class_0
data/class_0/67.jpg,class_0
data/class_0/68.jpg,class_0
data/class_0/69.jpg,class_0
data/class_0/7.jpg,class_0
data/class_0/70.jpg,class_0
data/class_0/71.jpg,class_0
data/class_0/72.jpg,class_0
data/class_0/73.jpg,class_0
data/class_0/74.jpg,class_0
data/class_0/75.jpg,class_0
data/class_0/77.jpg,class_0
data/class_0/78.jpg,class_0
data/class_0/79.jpg,class_0
data/class_0/8.jpg,class_0
data/class_0/80.jpg,class_0
data/class_0/81.jpg,class_0
data/class_0/82.jpg,class_0
data/class_0/83.jpg,class_0
data/class_0/84.jpg,class_0
data/class_0/85.jpg,class_0
data/class_0/86.jpg,class_0
data/class_0/87.jpg,class_0
data/class_0/88.jpg,class_0
data/class_0/89.jpg,class_0
data/class_0/9.jpg,class_0
data/class_0/90.jpg,class_0
data/class_0/91.jpg,class_0
data/class_0/92.jpg,class_0
data/class_0/93.jpg,class_0
data/class_0/94.jpg,class_0
data/class_0/95.jpg,class_0
data/class_0/96.jpg,class_0
data/class_0/97.jpg,class_0
data/class_0/98.jpg,class_0
data/class_0/99.jpg,class_0
data/class_1/1.jpg,class_1
data/class_1/10.jpg,class_1
data/class_1/100.jpg,class_1
data/class_1/101.jpg,class_1
data/class_1/102.jpg,class_1
data/class_1/103.jpg,class_1
data/class_1/104.jpg,class_1
data/class_1/105.jpg,class_1
data/class_1/106.jpg,class_1
data/class_1/107.jpg,class_1
data/class_1/108.jpg,class_1
data/class_1/109.jpg,class_1
data/class_1/11.jpg,class_1
data/class_1/110.jpg,class_1
data/class_1/111.jpg,class_1
data/class_1/112.jpg,class_1
data/class_1/113.jpg,class_1
data/class_1/114.jpg,class_1
data/class_1/115.jpg,class_1
data/class_1/116.jpg,class_1
data/class_1/117.jpg,class_1
data/class_1/118.jpg,class_1
data/class_1/119.jpg,class_1
data/class_1/12.jpg,class_1
data/class_1/120.jpg,class_1
data/class_1/121.jpg,class_1
data/class_1/122.jpg,class_1
data/class_1/123.jpg,class_1
data/class_1/124.jpg,class_1
data/class_1/125.jpg,class_1
data/class_1/126.jpg,class_1
data/class_1/127.jpg,class_1
data/class_1/128.jpg,class_1
data/class_1/129.jpg,class_1
data/class_1/13.jpg,class_1
data/class_1/130.jpg,class_1
data/class_1/131.jpg,class_1
data/class_1/132.jpg,class_1
data/class_1/133.jpg,class_1
data/class_1/134.jpg,class_1
data/class_1/135.jpg,class_1
data/class_1/136.jpg,class_1
data/class_1/137.jpg,class_1
data/class_1/138.jpg,class_1
data/class_1/14.jpg,class_1
data/class_1/15.jpg,class_1
data/class_1/16.jpg,class_1
data/class_1/17.jpg,class_1
data/class_1/18.jpg,class_1
data/class_1/19.jpg,class_1
data/class_1/2.jpg,class_1
data/class_1/20.jpg,class_1
data/class_1/21.jpg,class_1
data/class_1/22.jpg,class_1
data/class_1/23.jpg,class_1
data/class_1/24.jpg,class_1
data/class_1/25.jpg,class_1
data/class_1/26.jpg,class_1
data/class_1/27.jpg,class_1
data/class_1/28.jpg,class_1
data/class_1/29.jpg,class_1
data/class_1/3.jpg,class_1
data/class_1/30.jpg,class_1
data/class_1/31.jpg,class_1
data/class_1/32.jpg,class_1
data/class_1/33.jpg,class_1
data/class_1/34.jpg,class_1
data/class_1/35.jpg,class_1
data/class_1/36.jpg,class_1
data/class_1/37.jpg,class_1
data/class_1/38.jpg,class_1
data/class_1/39.jpg,class_1
data/class_1/4.jpg,class_1
data/class_1/40.jpg,class_1
data/class_1/41.jpg,class_1
data/class_1/42.jpg,class_1
data/class_1/43.jpg,class_1
data/class_1/44.jpg,class_1
data/class_1/45.jpg,class_1
data/class_1/46.jpg,class_1
data/class_1/47.jpg,class_1
data/class_1/48.jpg,class_1
data/class_1/49.jpg,class_1
data/class_1/5.jpg,class_1
data/class_1/50.jpg,class_1
data/class_1/51.jpg,class_1
data/class_1/52.jpg,class_1
data/class_1/53.jpg,class_1
data/class_1/54.jpg,class_1
data/class_1/55.jpg,class_1
data/class_1/56.jpg,class_1
data/class_1/57.jpg,class_1
data/class_1/58.jpg,class_1
data/class_1/59.jpg,class_1
data/class_1/6.jpg,class_1
data/class_1/60.jpg,class_1
data/class_1/61.jpg,class_1
data/class_1/62.jpg,class_1
data/class_1/63.jpg,class_1
